# t     dt     X_CO      X_C     X_O    X_solidC   	X_Mg      X_Si     X_SiO       X_Mg2SiO4    adap_flag     sat_Cg    lnsat_Sig
144024.60938 1000.00000 0.00593 0.00546 0.09162 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
145024.60938 1000.00000 0.00602 0.00542 0.09156 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
146024.60938 1000.00000 0.00611 0.00538 0.09151 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
147024.60938 1000.00000 0.00620 0.00534 0.09146 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
148024.60938 1000.00000 0.00629 0.00530 0.09141 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
149024.60938 1000.00000 0.00638 0.00526 0.09135 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
150024.60938 1000.00000 0.00647 0.00522 0.09130 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
151024.60938 1000.00000 0.00657 0.00518 0.09125 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
152024.60938 1000.00000 0.00666 0.00514 0.09120 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
153024.60938 1000.00000 0.00675 0.00510 0.09114 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
154024.60938 1000.00000 0.00685 0.00506 0.09109 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
155024.60938 1000.00000 0.00694 0.00502 0.09103 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
156024.60938 1000.00000 0.00704 0.00498 0.09098 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
157024.60938 1000.00000 0.00713 0.00494 0.09093 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
158024.60938 1000.00000 0.00723 0.00490 0.09087 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
159024.60938 1000.00000 0.00732 0.00486 0.09082 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
160024.60938 1000.00000 0.00742 0.00482 0.09076 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
161024.60938 1000.00000 0.00751 0.00478 0.09071 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
162024.60938 1000.00000 0.00761 0.00474 0.09065 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
163024.60938 1000.00000 0.00770 0.00470 0.09060 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
164024.60938 1000.00000 0.00780 0.00466 0.09054 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
165024.60938 1000.00000 0.00790 0.00461 0.09049 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
166024.60938 1000.00000 0.00799 0.00457 0.09043 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
167024.60938 1000.00000 0.00809 0.00453 0.09038 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
168024.60938 1000.00000 0.00819 0.00449 0.09032 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
169024.60938 1000.00000 0.00828 0.00445 0.09027 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
170024.60938 1000.00000 0.00838 0.00441 0.09021 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
171024.60938 1000.00000 0.00847 0.00437 0.09016 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
172024.60938 1000.00000 0.00857 0.00432 0.09010 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
173024.60938 1000.00000 0.00867 0.00428 0.09005 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
174024.60938 1000.00000 0.00876 0.00424 0.08999 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
175024.60938 1000.00000 0.00886 0.00420 0.08994 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
176024.60938 1000.00000 0.00895 0.00416 0.08989 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
177024.60938 1000.00000 0.00904 0.00412 0.08984 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
