# t     n_CO      n_C      n_O       n_solidC    n_Mg      	n_Si      n_SiO    n_Mg2SiO4  ncritical_Cg     ncritical_Sig
15686024.60938 3858951.00412 2.12010 30543505.14707 0.00000 160371.94590 0.00111 158077.89747 0.00000 0.00000 0.00000 
15687024.60938 3858008.33169 2.11959 30536043.91725 0.00000 160332.76991 0.00111 158039.28188 0.00000 0.00000 0.00000 
15688024.60938 3857065.65925 2.11907 30528582.68743 0.00000 160293.59392 0.00111 158000.66629 0.00000 0.00000 0.00000 
15689024.60938 3856122.98682 2.11855 30521121.45761 0.00000 160254.41794 0.00111 157962.05070 0.00000 0.00000 0.00000 
15690024.60938 3855180.31438 2.11804 30513660.22778 0.00000 160215.24195 0.00111 157923.43511 0.00000 0.00000 0.00000 
15691024.60938 3854237.64195 2.11752 30506198.99796 0.00000 160176.06596 0.00110 157884.81951 0.00000 0.00000 0.00000 
15692024.60938 3853294.96951 2.11700 30498737.76814 0.00000 160136.88998 0.00110 157846.20392 0.00000 0.00000 0.00000 
15693024.60938 3852352.29708 2.11649 30491276.53832 0.00000 160097.71399 0.00110 157807.58833 0.00000 0.00000 0.00000 
15694024.60938 3851409.62465 2.11597 30483815.30850 0.00000 160058.53800 0.00110 157768.97274 0.00000 0.00000 0.00000 
15695024.60938 3850466.95221 2.11545 30476354.07867 0.00000 160019.36202 0.00110 157730.35715 0.00000 0.00000 0.00000 
15696024.60938 3849524.27978 2.11494 30468892.84885 0.00000 159980.18603 0.00110 157691.74156 0.00000 0.00000 0.00000 
15697024.60938 3848581.60734 2.11442 30461431.61903 0.00000 159941.01004 0.00110 157653.12596 0.00000 0.00000 0.00000 
15698024.60938 3847639.33509 2.11390 30453973.55662 0.00000 159901.85069 0.00110 157614.52676 0.00000 0.00000 0.00000 
15699024.60938 3846697.41260 2.11339 30446518.26262 0.00000 159862.70587 0.00110 157575.94189 0.00000 0.00000 0.00000 
15700024.60938 3845755.49012 2.11287 30439062.96862 0.00000 159823.56105 0.00110 157537.35702 0.00000 0.00000 0.00000 
15701024.60938 3844813.56763 2.11235 30431607.67462 0.00000 159784.41623 0.00110 157498.77215 0.00000 0.00000 0.00000 
15702024.60938 3843871.64514 2.11184 30424152.38063 0.00000 159745.27141 0.00110 157460.18728 0.00000 0.00000 0.00000 
15703024.60938 3842929.72266 2.11132 30416697.08663 0.00000 159706.12659 0.00110 157421.60241 0.00000 0.00000 0.00000 
15704024.60938 3841987.80017 2.11080 30409241.79263 0.00000 159666.98177 0.00110 157383.01754 0.00000 0.00000 0.00000 
15705024.60938 3841045.87769 2.11029 30401786.49863 0.00000 159627.83695 0.00110 157344.43267 0.00000 0.00000 0.00000 
15706024.60938 3840103.95520 2.10977 30394331.20463 0.00000 159588.69213 0.00110 157305.84780 0.00000 0.00000 0.00000 
15707024.60938 3839162.03271 2.10926 30386875.91063 0.00000 159549.54731 0.00110 157267.26293 0.00000 0.00000 0.00000 
15708024.60938 3838220.11023 2.10874 30379420.61664 0.00000 159510.40249 0.00110 157228.67806 0.00000 0.00000 0.00000 
15709024.60938 3837278.18774 2.10822 30371965.32264 0.00000 159471.25767 0.00110 157190.09319 0.00000 0.00000 0.00000 
15710024.60938 3836336.26525 2.10771 30364510.02864 0.00000 159432.11285 0.00110 157151.50831 0.00000 0.00000 0.00000 
15711024.60938 3835394.34277 2.10719 30357054.73464 0.00000 159392.96803 0.00110 157112.92344 0.00000 0.00000 0.00000 
15712024.60938 3834453.12876 2.10667 30349605.04820 0.00000 159353.85265 0.00110 157074.36760 0.00000 0.00000 0.00000 
15713024.60938 3833512.09675 2.10616 30342156.80233 0.00000 159314.74484 0.00110 157035.81920 0.00000 0.00000 0.00000 
15714024.60938 3832571.06475 2.10564 30334708.55646 0.00000 159275.63703 0.00110 156997.27081 0.00000 0.00000 0.00000 
15715024.60938 3831630.03274 2.10513 30327260.31059 0.00000 159236.52922 0.00110 156958.72242 0.00000 0.00000 0.00000 
15716024.60938 3830689.00073 2.10461 30319812.06472 0.00000 159197.42140 0.00110 156920.17402 0.00000 0.00000 0.00000 
15717024.60938 3829747.96873 2.10410 30312363.81885 0.00000 159158.31359 0.00110 156881.62563 0.00000 0.00000 0.00000 
15718024.60938 3828806.93672 2.10358 30304915.57298 0.00000 159119.20578 0.00110 156843.07724 0.00000 0.00000 0.00000 
15719024.60938 3827865.90472 2.10306 30297467.32711 0.00000 159080.09796 0.00110 156804.52884 0.00000 0.00000 0.00000 
15720024.60938 3826924.87271 2.10255 30290019.08125 0.00000 159040.99015 0.00110 156765.98045 0.00000 0.00000 0.00000 
15721024.60938 3825983.84070 2.10203 30282570.83538 0.00000 159001.88234 0.00110 156727.43206 0.00000 0.00000 0.00000 
15722024.60938 3825042.80870 2.10152 30275122.58951 0.00000 158962.77453 0.00110 156688.88366 0.00000 0.00000 0.00000 
15723024.60938 3824101.77669 2.10100 30267674.34364 0.00000 158923.66671 0.00110 156650.33527 0.00000 0.00000 0.00000 
15724024.60938 3823160.74469 2.10048 30260226.09777 0.00000 158884.55890 0.00110 156611.78688 0.00000 0.00000 0.00000 
15725024.60938 3822219.74950 2.09997 30252778.14331 0.00000 158845.45262 0.00110 156573.23999 0.00000 0.00000 0.00000 
15726024.60938 3821279.54282 2.09945 30245336.42989 0.00000 158806.37910 0.00110 156534.72541 0.00000 0.00000 0.00000 
15727024.60938 3820339.33614 2.09894 30237894.71647 0.00000 158767.30559 0.00110 156496.21082 0.00000 0.00000 0.00000 
15728024.60938 3819399.12946 2.09842 30230453.00305 0.00000 158728.23208 0.00109 156457.69624 0.00000 0.00000 0.00000 
15729024.60938 3818458.92279 2.09791 30223011.28964 0.00000 158689.15856 0.00109 156419.18165 0.00000 0.00000 0.00000 
15730024.60938 3817518.71611 2.09739 30215569.57622 0.00000 158650.08505 0.00109 156380.66707 0.00000 0.00000 0.00000 
15731024.60938 3816578.50943 2.09688 30208127.86280 0.00000 158611.01154 0.00109 156342.15248 0.00000 0.00000 0.00000 
15732024.60938 3815638.30275 2.09636 30200686.14938 0.00000 158571.93802 0.00109 156303.63790 0.00000 0.00000 0.00000 
15733024.60938 3814698.09607 2.09585 30193244.43597 0.00000 158532.86451 0.00109 156265.12332 0.00000 0.00000 0.00000 
15734024.60938 3813757.88940 2.09533 30185802.72255 0.00000 158493.79100 0.00109 156226.60873 0.00000 0.00000 0.00000 
15735024.60938 3812817.68272 2.09481 30178361.00913 0.00000 158454.71748 0.00109 156188.09415 0.00000 0.00000 0.00000 
15736024.60938 3811877.47604 2.09430 30170919.29571 0.00000 158415.64397 0.00109 156149.57956 0.00000 0.00000 0.00000 
15737024.60938 3810937.26936 2.09378 30163477.58230 0.00000 158376.57045 0.00109 156111.06498 0.00000 0.00000 0.00000 
15738024.60938 3809997.06269 2.09327 30156035.86888 0.00000 158337.49694 0.00109 156072.55039 0.00000 0.00000 0.00000 
15739024.60938 3809057.06609 2.09275 30148595.81829 0.00000 158298.43216 0.00109 156034.04441 0.00000 0.00000 0.00000 
15740024.60938 3808117.60543 2.09224 30141160.00959 0.00000 158259.38965 0.00109 155995.56039 0.00000 0.00000 0.00000 
15741024.60938 3807178.14478 2.09172 30133724.20090 0.00000 158220.34714 0.00109 155957.07636 0.00000 0.00000 0.00000 
15742024.60938 3806238.68412 2.09121 30126288.39220 0.00000 158181.30463 0.00109 155918.59234 0.00000 0.00000 0.00000 
15743024.60938 3805299.22346 2.09069 30118852.58351 0.00000 158142.26212 0.00109 155880.10832 0.00000 0.00000 0.00000 
15744024.60938 3804359.76280 2.09018 30111416.77482 0.00000 158103.21961 0.00109 155841.62429 0.00000 0.00000 0.00000 
15745024.60938 3803420.30214 2.08966 30103980.96612 0.00000 158064.17710 0.00109 155803.14027 0.00000 0.00000 0.00000 
15746024.60938 3802480.84148 2.08915 30096545.15743 0.00000 158025.13459 0.00109 155764.65624 0.00000 0.00000 0.00000 
15747024.60938 3801541.38082 2.08863 30089109.34874 0.00000 157986.09208 0.00109 155726.17222 0.00000 0.00000 0.00000 
15748024.60938 3800601.92017 2.08812 30081673.54004 0.00000 157947.04957 0.00109 155687.68819 0.00000 0.00000 0.00000 
15749024.60938 3799662.45951 2.08760 30074237.73135 0.00000 157908.00706 0.00109 155649.20417 0.00000 0.00000 0.00000 
15750024.60938 3798722.99885 2.08709 30066801.92265 0.00000 157868.96455 0.00109 155610.72014 0.00000 0.00000 0.00000 
15751024.60938 3797783.53819 2.08657 30059366.11396 0.00000 157829.92204 0.00109 155572.23612 0.00000 0.00000 0.00000 
15752024.60938 3796844.07753 2.08606 30051930.30527 0.00000 157790.87953 0.00109 155533.75209 0.00000 0.00000 0.00000 
15753024.60938 3795905.06898 2.08554 30044498.07501 0.00000 157751.85581 0.00109 155495.28659 0.00000 0.00000 0.00000 
15754024.60938 3794966.49899 2.08503 30037069.31591 0.00000 157712.85031 0.00109 155456.83905 0.00000 0.00000 0.00000 
15755024.60938 3794027.92899 2.08451 30029640.55680 0.00000 157673.84481 0.00109 155418.39151 0.00000 0.00000 0.00000 
15756024.60938 3793089.35900 2.08400 30022211.79770 0.00000 157634.83932 0.00109 155379.94397 0.00000 0.00000 0.00000 
15757024.60938 3792150.78901 2.08349 30014783.03859 0.00000 157595.83382 0.00109 155341.49643 0.00000 0.00000 0.00000 
15758024.60938 3791212.21901 2.08297 30007354.27949 0.00000 157556.82833 0.00109 155303.04889 0.00000 0.00000 0.00000 
15759024.60938 3790273.64902 2.08246 29999925.52039 0.00000 157517.82283 0.00109 155264.60135 0.00000 0.00000 0.00000 
15760024.60938 3789335.07902 2.08194 29992496.76128 0.00000 157478.81734 0.00109 155226.15381 0.00000 0.00000 0.00000 
15761024.60938 3788396.50903 2.08143 29985068.00218 0.00000 157439.81184 0.00109 155187.70627 0.00000 0.00000 0.00000 
15762024.60938 3787457.93904 2.08091 29977639.24307 0.00000 157400.80635 0.00109 155149.25873 0.00000 0.00000 0.00000 
15763024.60938 3786519.36904 2.08040 29970210.48397 0.00000 157361.80085 0.00109 155110.81119 0.00000 0.00000 0.00000 
15764024.60938 3785580.79905 2.07988 29962781.72487 0.00000 157322.79535 0.00109 155072.36365 0.00000 0.00000 0.00000 
15765024.60938 3784642.22905 2.07937 29955352.96576 0.00000 157283.78986 0.00109 155033.91612 0.00000 0.00000 0.00000 
15766024.60938 3783703.65906 2.07885 29947924.20666 0.00000 157244.78436 0.00108 154995.46858 0.00000 0.00000 0.00000 
15767024.60938 3782765.67375 2.07834 29940500.07535 0.00000 157205.80317 0.00108 154957.04499 0.00000 0.00000 0.00000 
15768024.60938 3781827.91514 2.07783 29933077.73830 0.00000 157166.83139 0.00108 154918.63069 0.00000 0.00000 0.00000 
15769024.60938 3780890.15653 2.07731 29925655.40125 0.00000 157127.85961 0.00108 154880.21638 0.00000 0.00000 0.00000 
15770024.60938 3779952.39791 2.07680 29918233.06420 0.00000 157088.88784 0.00108 154841.80208 0.00000 0.00000 0.00000 
15771024.60938 3779014.63930 2.07628 29910810.72715 0.00000 157049.91606 0.00108 154803.38778 0.00000 0.00000 0.00000 
15772024.60938 3778076.88068 2.07577 29903388.39010 0.00000 157010.94429 0.00108 154764.97348 0.00000 0.00000 0.00000 
15773024.60938 3777139.12207 2.07526 29895966.05305 0.00000 156971.97251 0.00108 154726.55917 0.00000 0.00000 0.00000 
15774024.60938 3776201.36346 2.07474 29888543.71600 0.00000 156933.00074 0.00108 154688.14487 0.00000 0.00000 0.00000 
15775024.60938 3775263.60484 2.07423 29881121.37895 0.00000 156894.02896 0.00108 154649.73057 0.00000 0.00000 0.00000 
