# t     n_CO      n_C      n_O       n_solidC    n_Mg      	n_Si      n_SiO    n_Mg2SiO4  ncritical_Cg     ncritical_Sig
11892050.00000 82603133.75213 8836.32253 41436165.27843 0.00000 409936.94384 0.00408 421801.04771 0.00000 0.00000 0.00000 
11893050.00000 82575549.91279 8833.37196 41422328.41227 0.00000 409800.05273 0.00407 421660.19479 0.00000 0.00000 0.00000 
11894050.00000 82547966.07345 8830.42139 41408491.54611 0.00000 409663.16162 0.00407 421519.34188 0.00000 0.00000 0.00000 
11895050.00000 82520382.23410 8827.47082 41394654.67995 0.00000 409526.27051 0.00407 421378.48896 0.00000 0.00000 0.00000 
11896050.00000 82492805.62717 8824.52102 41380821.44178 0.00000 409389.41529 0.00407 421237.67297 0.00000 0.00000 0.00000 
11897050.00000 82465248.28018 8821.57328 41366997.86496 0.00000 409252.65565 0.00407 421096.95534 0.00000 0.00000 0.00000 
11898050.00000 82437690.93319 8818.62555 41353174.28815 0.00000 409115.89602 0.00407 420956.23770 0.00000 0.00000 0.00000 
11899050.00000 82410133.58620 8815.67781 41339350.71133 0.00000 408979.13638 0.00407 420815.52006 0.00000 0.00000 0.00000 
11900050.00000 82382576.23921 8812.73007 41325527.13452 0.00000 408842.37674 0.00406 420674.80243 0.00000 0.00000 0.00000 
11901050.00000 82355018.89223 8809.78233 41311703.55770 0.00000 408705.61711 0.00406 420534.08479 0.00000 0.00000 0.00000 
11902050.00000 82327461.54524 8806.83459 41297879.98089 0.00000 408568.85747 0.00406 420393.36715 0.00000 0.00000 0.00000 
11903050.00000 82299904.19825 8803.88686 41284056.40407 0.00000 408432.09784 0.00406 420252.64952 0.00000 0.00000 0.00000 
11904050.00000 82272346.85126 8800.93912 41270232.82726 0.00000 408295.33820 0.00406 420111.93188 0.00000 0.00000 0.00000 
11905050.00000 82244789.50427 8797.99138 41256409.25044 0.00000 408158.57856 0.00406 419971.21424 0.00000 0.00000 0.00000 
11906050.00000 82217232.15728 8795.04364 41242585.67362 0.00000 408021.81893 0.00406 419830.49661 0.00000 0.00000 0.00000 
11907050.00000 82189693.02671 8792.09785 41228771.23470 0.00000 407885.14969 0.00406 419689.87199 0.00000 0.00000 0.00000 
11908050.00000 82162156.83699 8789.15238 41214958.27099 0.00000 407748.49505 0.00405 419549.26239 0.00000 0.00000 0.00000 
11909050.00000 82134620.64728 8786.20690 41201145.30728 0.00000 407611.84042 0.00405 419408.65279 0.00000 0.00000 0.00000 
11910050.00000 82107084.45756 8783.26142 41187332.34358 0.00000 407475.18578 0.00405 419268.04319 0.00000 0.00000 0.00000 
11911050.00000 82079548.26784 8780.31595 41173519.37987 0.00000 407338.53114 0.00405 419127.43359 0.00000 0.00000 0.00000 
11912050.00000 82052012.07813 8777.37047 41159706.41617 0.00000 407201.87650 0.00405 418986.82399 0.00000 0.00000 0.00000 
11913050.00000 82024475.88841 8774.42500 41145893.45246 0.00000 407065.22186 0.00405 418846.21439 0.00000 0.00000 0.00000 
11914050.00000 81996939.69870 8771.47952 41132080.48876 0.00000 406928.56722 0.00405 418705.60479 0.00000 0.00000 0.00000 
11915050.00000 81969403.50898 8768.53404 41118267.52505 0.00000 406791.91258 0.00404 418564.99519 0.00000 0.00000 0.00000 
11916050.00000 81941867.31927 8765.58857 41104454.56134 0.00000 406655.25795 0.00404 418424.38559 0.00000 0.00000 0.00000 
11917050.00000 81914341.60910 8762.64421 41090646.85448 0.00000 406518.65531 0.00404 418283.82950 0.00000 0.00000 0.00000 
11918050.00000 81886829.18251 8759.70128 41076845.81106 0.00000 406382.11860 0.00404 418143.34124 0.00000 0.00000 0.00000 
11919050.00000 81859316.75593 8756.75834 41063044.76764 0.00000 406245.58190 0.00404 418002.85299 0.00000 0.00000 0.00000 
11920050.00000 81831804.32935 8753.81541 41049243.72422 0.00000 406109.04519 0.00404 417862.36473 0.00000 0.00000 0.00000 
11921050.00000 81804291.90277 8750.87247 41035442.68080 0.00000 405972.50848 0.00404 417721.87647 0.00000 0.00000 0.00000 
11922050.00000 81776779.47619 8747.92953 41021641.63738 0.00000 405835.97177 0.00403 417581.38822 0.00000 0.00000 0.00000 
11923050.00000 81749267.04961 8744.98660 41007840.59396 0.00000 405699.43506 0.00403 417440.89996 0.00000 0.00000 0.00000 
11924050.00000 81721754.62302 8742.04366 40994039.55054 0.00000 405562.89835 0.00403 417300.41170 0.00000 0.00000 0.00000 
11925050.00000 81694242.19644 8739.10073 40980238.50712 0.00000 405426.36164 0.00403 417159.92345 0.00000 0.00000 0.00000 
11926050.00000 81666729.76986 8736.15779 40966437.46370 0.00000 405289.82494 0.00403 417019.43519 0.00000 0.00000 0.00000 
11927050.00000 81639217.62795 8733.21489 40952636.56308 0.00000 405153.28964 0.00403 416878.94838 0.00000 0.00000 0.00000 
11928050.00000 81611728.92352 8730.27449 40938847.41939 0.00000 405016.87066 0.00403 416738.58126 0.00000 0.00000 0.00000 
11929050.00000 81584240.21909 8727.33409 40925058.27570 0.00000 404880.45168 0.00403 416598.21414 0.00000 0.00000 0.00000 
11930050.00000 81556751.51466 8724.39369 40911269.13201 0.00000 404744.03269 0.00402 416457.84701 0.00000 0.00000 0.00000 
11931050.00000 81529262.81024 8721.45329 40897479.98832 0.00000 404607.61371 0.00402 416317.47989 0.00000 0.00000 0.00000 
11932050.00000 81501774.10581 8718.51289 40883690.84463 0.00000 404471.19473 0.00402 416177.11277 0.00000 0.00000 0.00000 
11933050.00000 81474285.40138 8715.57249 40869901.70094 0.00000 404334.77575 0.00402 416036.74564 0.00000 0.00000 0.00000 
11934050.00000 81446796.69696 8712.63209 40856112.55725 0.00000 404198.35677 0.00402 415896.37852 0.00000 0.00000 0.00000 
11935050.00000 81419307.99253 8709.69169 40842323.41356 0.00000 404061.93778 0.00402 415756.01140 0.00000 0.00000 0.00000 
11936050.00000 81391819.28810 8706.75129 40828534.26986 0.00000 403925.51880 0.00402 415615.64427 0.00000 0.00000 0.00000 
11937050.00000 81364330.58368 8703.81089 40814745.12617 0.00000 403789.09982 0.00401 415475.27715 0.00000 0.00000 0.00000 
11938050.00000 81332701.45676 8700.42758 40798879.02459 0.00000 403632.13304 0.00401 415313.76755 0.00000 0.00000 0.00000 
11939050.00000 81297999.47277 8696.71555 40781471.48737 0.00000 403459.91651 0.00401 415136.56685 0.00000 0.00000 0.00000 
11940050.00000 81263297.48879 8693.00352 40764063.95016 0.00000 403287.69998 0.00401 414959.36615 0.00000 0.00000 0.00000 
11941050.00000 81228595.50480 8689.29149 40746656.41294 0.00000 403115.48345 0.00401 414782.16545 0.00000 0.00000 0.00000 
11942050.00000 81193893.52081 8685.57947 40729248.87573 0.00000 402943.26692 0.00401 414604.96475 0.00000 0.00000 0.00000 
11943050.00000 81159191.53682 8681.86744 40711841.33851 0.00000 402771.05039 0.00400 414427.76405 0.00000 0.00000 0.00000 
11944050.00000 81124489.55284 8678.15541 40694433.80130 0.00000 402598.83385 0.00400 414250.56335 0.00000 0.00000 0.00000 
