# t     n_CO      n_C      n_O       n_solidC    n_Mg      	n_Si      n_SiO    n_Mg2SiO4  ncritical_Cg     ncritical_Sig
3687649.38619 2014524733.19033 2123.27380 15944924271.35051 0.00000 83720527.72621 0.71650 82522943.16171 0.00000 0.00000 0.00000 
3688649.38619 2012269434.10081 2121.05712 15927073624.13876 0.00000 83626800.99582 0.71576 82430557.15006 0.00000 0.00000 0.00000 
3689649.38619 2010014135.01177 2118.83995 15909222976.92651 0.00000 83533074.26543 0.71502 82338171.13841 0.00000 0.00000 0.00000 
3690649.38619 2007704789.43538 2116.56532 15890944552.80849 0.00000 83437101.44672 0.71427 82243571.16772 0.00000 0.00000 0.00000 
3691649.38619 2004857434.87010 2113.72300 15868407797.95119 0.00000 83318769.80769 0.71332 82126932.20960 0.00000 0.00000 0.00000 
3692649.38619 2002010080.30537 2110.88014 15845871043.09335 0.00000 83200438.16867 0.71237 82010293.25149 0.00000 0.00000 0.00000 
3693649.38619 1999162725.74119 2108.03674 15823334288.23496 0.00000 83082106.52964 0.71141 81893654.29337 0.00000 0.00000 0.00000 
3694649.38619 1996317573.30072 2105.19510 15800814963.13828 0.00000 82963866.40744 0.71047 81777105.54298 0.00000 0.00000 0.00000 
3695649.38619 1993472773.44581 2102.35330 15778298428.74460 0.00000 82845640.93813 0.70952 81660571.23587 0.00000 0.00000 0.00000 
3696649.38619 1990627973.59144 2099.51095 15755781894.35038 0.00000 82727415.46882 0.70857 81544036.92876 0.00000 0.00000 0.00000 
3697649.38619 1987784724.44041 2096.66970 15733277633.73828 0.00000 82609254.44431 0.70762 81427566.14460 0.00000 0.00000 0.00000 
3698649.38619 1984942386.85579 2093.82886 15710780588.15186 0.00000 82491131.30307 0.70667 81311132.70181 0.00000 0.00000 0.00000 
3699649.38619 1982100049.27172 2090.98749 15688283542.56490 0.00000 82373008.16183 0.70572 81194699.25901 0.00000 0.00000 0.00000 
3700649.38619 1979258690.19783 2088.14660 15665794241.86226 0.00000 82254925.68594 0.70477 81078305.89986 0.00000 0.00000 0.00000 
3701649.38619 1976418831.19608 2085.30676 15643316814.19678 0.00000 82136905.55070 0.70382 80961973.98961 0.00000 0.00000 0.00000 
3702649.38619 1973578972.19486 2082.46638 15620839386.53075 0.00000 82018885.41546 0.70287 80845642.07936 0.00000 0.00000 0.00000 
3703649.38619 1970739508.91666 2079.62588 15598365090.99995 0.00000 81900881.72583 0.70192 80729326.37948 0.00000 0.00000 0.00000 
3704649.38619 1967902170.66362 2076.78708 15575907614.99733 0.00000 81782966.34893 0.70098 80613097.72905 0.00000 0.00000 0.00000 
3705649.38619 1965064832.41111 2073.94774 15553450138.99419 0.00000 81665050.97204 0.70003 80496869.07862 0.00000 0.00000 0.00000 
3706649.38619 1962227494.15915 2071.10787 15530992662.99050 0.00000 81547135.59514 0.69908 80380640.42819 0.00000 0.00000 0.00000 
3707649.38619 1960157854.45227 2069.07778 15514611506.11782 0.00000 81461124.58076 0.69841 80295859.76270 0.00000 0.00000 0.00000 
3708649.38619 1958158353.28130 2067.12127 15498785494.39628 0.00000 81378028.41528 0.69776 80213952.25050 0.00000 0.00000 0.00000 
3709649.38619 1956158852.11078 2065.16431 15482959482.67428 0.00000 81294932.24980 0.69711 80132044.73831 0.00000 0.00000 0.00000 
3710649.38619 1954160511.23478 2063.20814 15467142654.65703 0.00000 81211884.30435 0.69646 80050184.75637 0.00000 0.00000 0.00000 
3711649.38619 1952162734.67558 2061.25211 15451330293.19236 0.00000 81128859.81101 0.69581 79968347.89108 0.00000 0.00000 0.00000 
3712649.38619 1950164958.11683 2059.29564 15435517931.72725 0.00000 81045835.31767 0.69516 79886511.02578 0.00000 0.00000 0.00000 
3713649.38619 1948167942.01332 2057.33952 15419711589.24670 0.00000 80962842.42766 0.69451 79804705.31174 0.00000 0.00000 0.00000 
3714649.38619 1946171948.52562 2055.38405 15403913340.74657 0.00000 80879892.03596 0.69386 79722941.48809 0.00000 0.00000 0.00000 
3715649.38619 1944175955.03837 2053.42813 15388115092.24599 0.00000 80796941.64425 0.69321 79641177.66444 0.00000 0.00000 0.00000 
3716649.38619 1942180266.22982 2051.47208 15372319255.26760 0.00000 80714003.91451 0.69256 79559426.32163 0.00000 0.00000 0.00000 
3717649.38619 1940185991.31090 2049.51710 15356534609.19425 0.00000 80631124.94380 0.69191 79477732.89734 0.00000 0.00000 0.00000 
3718649.38619 1938191716.39241 2047.56167 15340749963.12046 0.00000 80548245.97310 0.69126 79396039.47304 0.00000 0.00000 0.00000 
3719649.38619 1936197441.47436 2045.60580 15324965317.04623 0.00000 80465367.00240 0.69061 79314346.04875 0.00000 0.00000 0.00000 
3720649.38619 1934204829.56526 2043.65125 15309193833.65174 0.00000 80382557.14375 0.68996 79232720.74790 0.00000 0.00000 0.00000 
3721649.38619 1932212351.93906 2041.69640 15293423413.09988 0.00000 80299752.86568 0.68931 79151100.94779 0.00000 0.00000 0.00000 
3722649.38619 1930219874.31330 2039.74111 15277652992.54758 0.00000 80216948.58761 0.68866 79069481.14768 0.00000 0.00000 0.00000 
3723649.38619 1928228531.04375 2037.78659 15261891550.39893 0.00000 80134191.45160 0.68801 78987907.81530 0.00000 0.00000 0.00000 
3724649.38619 1926237745.51187 2035.83222 15246134522.72921 0.00000 80051457.49429 0.68736 78906357.33005 0.00000 0.00000 0.00000 
3725649.38619 1924246959.98042 2033.87741 15230377495.05904 0.00000 79968723.53698 0.68671 78824806.84480 0.00000 0.00000 0.00000 
3726649.38619 1922256905.15907 2031.92294 15214626250.94132 0.00000 79886019.94684 0.68606 78743286.29233 0.00000 0.00000 0.00000 
3727649.38619 1920267890.24666 2029.96914 15198883237.67888 0.00000 79803359.57368 0.68541 78661808.33864 0.00000 0.00000 0.00000 
3728649.38619 1918278875.33469 2028.01490 15183140224.41601 0.00000 79720699.20052 0.68476 78580330.38495 0.00000 0.00000 0.00000 
3729649.38619 1916290119.96984 2026.06050 15167399265.45979 0.00000 79638049.61372 0.68411 78498863.06333 0.00000 0.00000 0.00000 
3730649.38619 1914302811.63511 2024.10721 15151669759.71507 0.00000 79555460.16323 0.68346 78417455.01779 0.00000 0.00000 0.00000 
3731649.38619 1912315503.30080 2022.15348 15135940253.96993 0.00000 79472870.71274 0.68281 78336046.97226 0.00000 0.00000 0.00000 
3732649.38619 1910328194.96693 2020.19931 15120210748.22435 0.00000 79390281.26225 0.68216 78254638.92673 0.00000 0.00000 0.00000 
3733649.38619 1908342454.66786 2018.24638 15104493653.44011 0.00000 79307756.97684 0.68151 78173295.11412 0.00000 0.00000 0.00000 
3734649.38619 1906356910.77588 2016.29323 15088778113.21034 0.00000 79225240.85379 0.68086 78091959.34710 0.00000 0.00000 0.00000 
3735649.38619 1904371366.88432 2014.33965 15073062572.98013 0.00000 79142724.73074 0.68021 78010623.58009 0.00000 0.00000 0.00000 
3736649.38619 1902386881.44048 2012.38675 15057355410.33929 0.00000 79060252.59512 0.67956 77929331.17129 0.00000 0.00000 0.00000 
3737649.38619 1900403038.17762 2010.43412 15041653330.54476 0.00000 78977807.14752 0.67891 77848065.06876 0.00000 0.00000 0.00000 
3738649.38619 1898419194.91519 2008.48105 15025951250.74981 0.00000 78895361.69993 0.67826 77766798.96622 0.00000 0.00000 0.00000 
3739649.38619 1896435972.83494 2006.52822 15010254087.59597 0.00000 78812942.06769 0.67761 77685558.30977 0.00000 0.00000 0.00000 
3740649.38619 1894453887.86952 2004.57616 14994565924.68030 0.00000 78730569.69216 0.67696 77604364.23404 0.00000 0.00000 0.00000 
3741649.38619 1892471802.90453 2002.62368 14978877761.76422 0.00000 78648197.31664 0.67631 77523170.15831 0.00000 0.00000 0.00000 
3742649.38619 1890489860.61203 2000.67093 14963190728.09435 0.00000 78565830.87034 0.67566 77441981.92699 0.00000 0.00000 0.00000 
3743649.38619 1888509530.83002 1998.71945 14947516457.41011 0.00000 78483531.43746 0.67501 77360859.75050 0.00000 0.00000 0.00000 
3744649.38619 1886529201.04843 1996.76756 14931842186.72546 0.00000 78401232.00459 0.67436 77279737.57401 0.00000 0.00000 0.00000 
3745649.38619 1884548871.26726 1994.81525 14916167916.04038 0.00000 78318932.57171 0.67371 77198615.39752 0.00000 0.00000 0.00000 
3746649.38619 1882569905.65936 1992.86396 14900504442.75655 0.00000 78236689.83175 0.67306 77117549.10298 0.00000 0.00000 0.00000 
3747649.38619 1880591267.59060 1990.91259 14884843561.93496 0.00000 78154460.70378 0.67241 77036496.22572 0.00000 0.00000 0.00000 
3748649.38619 1878612629.52225 1988.96081 14869182681.11295 0.00000 78072231.57582 0.67176 76955443.34846 0.00000 0.00000 0.00000 
3749649.38619 1876634926.90553 1987.00959 14853529204.36870 0.00000 77990041.32376 0.67111 76874428.79101 0.00000 0.00000 0.00000 
3750649.38619 1874658058.22641 1985.05884 14837882328.22072 0.00000 77907885.72884 0.67046 76793448.39494 0.00000 0.00000 0.00000 
3751649.38619 1872681189.54770 1983.10768 14822235452.07232 0.00000 77825730.13392 0.66981 76712467.99886 0.00000 0.00000 0.00000 
3752649.38619 1870704748.99003 1981.15654 14806591964.48993 0.00000 77743592.33102 0.66916 76631505.14031 0.00000 0.00000 0.00000 
3753649.38619 1868729606.00523 1979.20637 14790958747.16807 0.00000 77661508.45323 0.66852 76550595.43549 0.00000 0.00000 0.00000 
3754649.38619 1866754463.02085 1977.25578 14775325529.84580 0.00000 77579424.57544 0.66787 76469685.73067 0.00000 0.00000 0.00000 
3755649.38619 1864779320.03689 1975.30478 14759692312.52311 0.00000 77497340.69765 0.66722 76388776.02585 0.00000 0.00000 0.00000 
3756649.38619 1862805800.32188 1973.35508 14744071943.33919 0.00000 77415324.28039 0.66657 76307932.81656 0.00000 0.00000 0.00000 
3757649.38619 1860832340.20396 1971.40503 14728452045.86137 0.00000 77333310.33987 0.66592 76227092.04859 0.00000 0.00000 0.00000 
3758649.38619 1858858880.08645 1969.45457 14712832148.38313 0.00000 77251296.39935 0.66527 76146251.28062 0.00000 0.00000 0.00000 
3759649.38619 1856886640.81024 1967.50499 14697221913.83655 0.00000 77169333.19509 0.66462 76065460.52315 0.00000 0.00000 0.00000 
