# t     n_CO      n_C      n_O       n_solidC    n_Mg      	n_Si      n_SiO    n_Mg2SiO4  n_H    ncritical_Cg     ncritical_Sig
5652747.96753 333894991.64038 68.99261 2634819054.29547 12508.54485 0.00000 0.02081 5683165.63645 8060933.43266 3921977584158.41602 2.00000 0.00000 
5653747.96753 333661773.69493 68.94736 2632978694.06156 12499.81224 0.00000 0.02079 5679196.07654 8055303.05688 3921977584158.41602 2.00000 0.00000 
5654747.96753 333428555.74950 68.90211 2631138333.82765 12491.07963 0.00000 0.02078 5675226.51663 8049672.68109 3921977584158.41602 2.00000 0.00000 
5655747.96753 333195390.74370 68.85686 2629298391.34879 12482.34898 0.00000 0.02076 5671257.85780 8044043.58338 3921977584158.41602 2.00000 0.00000 
5656747.96753 332962375.42440 68.81163 2627459630.07004 12473.62394 0.00000 0.02075 5667291.74675 8038418.09942 3921977584158.41602 2.00000 0.00000 
5657747.96753 332729360.10512 68.76640 2625620868.79127 12464.89888 0.00000 0.02074 5663325.63571 8032792.61547 3921977584158.41602 2.00000 0.00000 
5658747.96753 332496344.78586 68.72117 2623782107.51249 12456.17382 0.00000 0.02072 5659359.52466 8027167.13151 3921977584158.41602 2.00000 0.00000 
5659747.96753 332263329.46661 68.67593 2621943346.23369 12447.44875 0.00000 0.02071 5655393.41362 8021541.64755 3921977584158.41602 2.00000 0.00000 
5660747.96753 332030377.27062 68.63069 2620105083.07057 12438.72603 0.00000 0.02069 5651428.37698 8015917.68752 3921977584158.41602 2.00000 0.00000 
5661747.96753 331797564.22572 68.58548 2618267917.97091 12430.00851 0.00000 0.02068 5647465.70881 8010297.08689 3921977584158.41602 2.00000 0.00000 
5662747.96753 331564751.18083 68.54026 2616430752.87124 12421.29099 0.00000 0.02067 5643503.04063 8004676.48626 3921977584158.41602 2.00000 0.00000 
5663747.96753 331331938.13596 68.49504 2614593587.77155 12412.57346 0.00000 0.02065 5639540.37246 7999055.88563 3921977584158.41602 2.00000 0.00000 
5664747.96753 331099125.09111 68.44981 2612756422.67185 12403.85592 0.00000 0.02064 5635577.70429 7993435.28501 3921977584158.41602 2.00000 0.00000 
5665747.96753 330866384.44946 68.40459 2610919828.91736 12395.14108 0.00000 0.02063 5631616.26848 7987816.43235 3921977584158.41602 2.00000 0.00000 
5666747.96753 330633773.32808 68.35939 2609084257.22800 12386.43108 0.00000 0.02061 5627657.03721 7982200.70658 3921977584158.41602 2.00000 0.00000 
5667747.96753 330401162.20671 68.31419 2607248685.53863 12377.72107 0.00000 0.02060 5623697.80594 7976584.98081 3921977584158.41602 2.00000 0.00000 
5668747.96753 330168551.08536 68.26898 2605413113.84924 12369.01106 0.00000 0.02058 5619738.57467 7970969.25504 3921977584158.41602 2.00000 0.00000 
5669747.96753 329935939.96403 68.22377 2603577542.15984 12360.30103 0.00000 0.02057 5615779.34340 7965353.52928 3921977584158.41602 2.00000 0.00000 
5670747.96753 329703412.04177 68.17856 2601742627.00755 12351.59412 0.00000 0.02056 5611821.52825 7959739.81211 3921977584158.41602 2.00000 0.00000 
5671747.96753 329471008.51975 68.13338 2599908693.51751 12342.89185 0.00000 0.02054 5607865.83049 7954129.09823 3921977584158.41602 2.00000 0.00000 
5672747.96753 329238604.99776 68.08819 2598074760.02746 12334.18958 0.00000 0.02053 5603910.13273 7948518.38435 3921977584158.41602 2.00000 0.00000 
5673747.96753 329006201.47578 68.04300 2596240826.53740 12325.48729 0.00000 0.02051 5599954.43497 7942907.67047 3921977584158.41602 2.00000 0.00000 
5674747.96753 328773797.95381 67.99780 2594406893.04732 12316.78500 0.00000 0.02050 5595998.73721 7937296.95659 3921977584158.41602 2.00000 0.00000 
5675747.96753 328541482.09015 67.95261 2592573651.28295 12308.08598 0.00000 0.02049 5592044.53146 7931688.35897 3921977584158.41602 2.00000 0.00000 
5676747.96753 328309278.44233 67.90744 2590741295.03163 12299.39116 0.00000 0.02047 5588092.23572 7926082.47047 3921977584158.41602 2.00000 0.00000 
5677747.96753 328077074.79453 67.86226 2588908938.78029 12290.69632 0.00000 0.02046 5584139.93998 7920476.58198 3921977584158.41602 2.00000 0.00000 
5678747.96753 327844871.14674 67.81708 2587076582.52895 12282.00148 0.00000 0.02044 5580187.64424 7914870.69348 3921977584158.41602 2.00000 0.00000 
5679747.96753 327612667.49896 67.77190 2585244226.27758 12273.30663 0.00000 0.02043 5576235.34851 7909264.80499 3921977584158.41602 2.00000 0.00000 
5680747.96753 327380560.87780 67.72672 2583412635.67869 12264.61540 0.00000 0.02042 5572284.70424 7903661.25892 3921977584158.41602 2.00000 0.00000 
5681747.96753 327148562.76548 67.68157 2581581901.34034 12255.92823 0.00000 0.02040 5568335.90688 7898060.33249 3921977584158.41602 2.00000 0.00000 
5682747.96753 326916564.65316 67.63641 2579751167.00198 12247.24105 0.00000 0.02039 5564387.10952 7892459.40605 3921977584158.41602 2.00000 0.00000 
5683747.96753 326684566.54087 67.59124 2577920432.66360 12238.55387 0.00000 0.02038 5560438.31216 7886858.47962 3921977584158.41602 2.00000 0.00000 
5684747.96753 326452568.42859 67.54607 2576089698.32520 12229.86667 0.00000 0.02036 5556489.51480 7881257.55319 3921977584158.41602 2.00000 0.00000 
5685747.96753 326220670.80688 67.50091 2574259756.97397 12221.18323 0.00000 0.02035 5552542.42788 7875659.05281 3921977584158.41602 2.00000 0.00000 
