# t     n_CO      n_C      n_O       n_solidC    n_Mg      	n_Si      n_SiO    n_Mg2SiO4  n_H    ncritical_Cg     ncritical_Sig
5747247.96753 309780259.59824 149.28418 2445466236.91586 0.00263 103.56619 0.01889 6314053.23092 6436938.42825 3921977584158.41602 2.00000 2.00000 
5748247.96753 309719792.88925 149.25756 2444988900.84279 0.00264 103.51890 0.01889 6312820.76312 6435682.00128 3921977584158.41602 2.00000 2.00000 
5749247.96753 309659326.18026 149.23095 2444511564.76973 0.00264 103.47164 0.01888 6311588.29533 6434425.57430 3921977584158.41602 2.00000 2.00000 
5750247.96753 309598859.47128 149.20432 2444034228.69668 0.00265 103.42440 0.01888 6310355.82754 6433169.14730 3921977584158.41602 2.00000 2.00000 
5751247.96753 309313275.32035 149.06921 2441779771.30430 0.00266 103.30200 0.01886 6304534.93474 6427234.99446 3921977584158.41602 2.00000 2.00000 
5752247.96753 309023673.87201 148.93215 2439493600.57679 0.00266 103.17834 0.01885 6298632.15996 6421217.36596 3921977584158.41602 2.00000 2.00000 
5753247.96753 308734072.42367 148.79508 2437207429.84932 0.00267 103.05476 0.01883 6292729.38523 6415199.73742 3921977584158.41602 2.00000 2.00000 
5754247.96753 308444470.97533 148.65801 2434921259.12189 0.00268 102.93127 0.01881 6286826.61054 6409182.10884 3921977584158.41602 2.00000 2.00000 
5755247.96753 308154869.52700 148.52094 2432635088.39449 0.00268 102.80786 0.01879 6280923.83589 6403164.48021 3921977584158.41602 2.00000 2.00000 
5756247.96753 307946542.04570 148.42303 2430990510.33204 0.00269 102.71164 0.01878 6276677.61662 6398835.64712 3921977584158.41602 2.00000 2.00000 
5757247.96753 307742459.05657 148.32717 2429379439.12474 0.00269 102.61689 0.01877 6272517.91016 6394595.01050 3921977584158.41602 2.00000 2.00000 
5758247.96753 307538376.06744 148.23129 2427768367.91746 0.00270 102.52221 0.01876 6268358.20372 6390354.37386 3921977584158.41602 2.00000 2.00000 
5759247.96753 307334293.07831 148.13542 2426157296.71021 0.00271 102.42759 0.01875 6264198.49732 6386113.73718 3921977584158.41602 2.00000 2.00000 
5760247.96753 307130210.08919 148.03953 2424546225.50298 0.00272 102.33302 0.01873 6260038.79095 6381873.10047 3921977584158.41602 2.00000 2.00000 
5761247.96753 306926294.79667 147.94373 2422936478.12565 0.00272 102.23858 0.01872 6255882.50266 6377635.94831 3921977584158.41602 2.00000 2.00000 
5762247.96753 306722395.30964 147.84792 2421326855.51997 0.00273 102.14419 0.01871 6251726.53655 6373399.12454 3921977584158.41602 2.00000 2.00000 
5763247.96753 306518495.82262 147.75212 2419717232.91431 0.00274 102.04987 0.01870 6247570.57047 6369162.30074 3921977584158.41602 2.00000 2.00000 
5764247.96753 306314596.33560 147.65630 2418107610.30868 0.00274 101.95561 0.01869 6243414.60442 6364925.47691 3921977584158.41602 2.00000 2.00000 
